,Domain,Area Code (M49),Area,Element,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description
0,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0005,E,Estimated value
1,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,10.5259,E,Estimated value
2,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0005,E,Estimated value
3,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,11.212,E,Estimated value
4,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0005,E,Estimated value
5,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,14.8957,E,Estimated value
6,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0006,E,Estimated value
7,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,17.02,E,Estimated value
8,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0005,E,Estimated value
9,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,12.7357,E,Estimated value
10,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0006,E,Estimated value
11,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,18.8725,E,Estimated value
12,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0006,E,Estimated value
13,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,22.1871,E,Estimated value
14,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.001,E,Estimated value
15,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,51.3405,E,Estimated value
16,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0015,E,Estimated value
17,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,99.3855,E,Estimated value
18,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
19,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,152.6062,E,Estimated value
20,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.002,E,Estimated value
21,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,157.0495,E,Estimated value
22,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,0.0034,E,Estimated value
23,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,241.896,E,Estimated value
24,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,0.0026,E,Estimated value
25,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,209.7859,E,Estimated value
26,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
27,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,71.0095,E,Estimated value
28,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,0.0003,E,Estimated value
29,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,66.3401,E,Estimated value
30,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
31,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,66.9964,E,Estimated value
32,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,0.0003,E,Estimated value
33,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,57.343,E,Estimated value
34,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
35,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,53.5748,E,Estimated value
36,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
37,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,52.1563,E,Estimated value
38,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
39,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,72.6639,E,Estimated value
40,Emissions Totals,4,Afghanistan,Emissions (N2O),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,0.0004,E,Estimated value
41,Emissions Totals,4,Afghanistan,Emissions (CO2),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,72.1092,E,Estimated value
42,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
43,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
44,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
45,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
